,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
688,TIIL,893.0,,,,,UpTrend,Yes,,,,,Yes,,
689,TIINDIA,2964.0,,,,,UpTrend,,Yes,2510,,,Yes,,
690,TIMETECHNO,93.0,,,,,DownTrend,Yes,,,,,,,
691,TIMKEN,3496.0,,,,,DownTrend,Yes,,,,,Yes,,
692,TINPLATE,331.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
693,TIRUMALCHM,210.0,,,,,DownTrend,Yes,,,,Yes,,,
694,TITAN,2617.0,,,,,DownTrend,,,,,,Yes,,
695,TORNTPHARM,1615.0,,,,,DownTrend,,,,,,,,
696,TORNTPOWER,543.0,,,,,DownTrend,Yes,,,,,Yes,,
697,TRENT,1475.0,,,,,UpTrend,,Yes,,Yes,,Yes,,
698,TRIDENT,36.0,,,,,UpTrend,Yes,,,,,Yes,,
699,TRITURBINE,286.0,,,,,DownTrend,Yes,,,,,Yes,,
700,TRIVENI,300.0,,,,,DownTrend,Yes,,,,,Yes,,
701,TTKPRESTIG,884.0,,,,,DownTrend,,,,,Yes,,,
702,TTML,99.0,,,,,DownTrend,,,,,,,,
703,TV18BRDCST,40.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
704,TVSMOTOR,1040.0,,,,,DownTrend,Yes,,,,,,,
705,TVTODAY,250.0,,,,,DownTrend,,,,,,Yes,,
706,UBL,1732.0,,,,,UpTrend,Yes,,,,,Yes,,
707,UFLEX,595.0,,,,,DownTrend,Yes,,,,,Yes,,
708,UJJIVANSFB,30.0,,,,,DownTrend,,,,,,Yes,,
709,ULTRACEMCO,7242.0,,,,,DownTrend,Yes,,,,,Yes,,
710,UNIONBANK,88.0,,,,,DownTrend,,Yes,756,,Yes,,,
711,UNOMINDA,549.0,,,,,DownTrend,,,,,,,,
712,UPL,787.0,,,,,DownTrend,Yes,,,,,Yes,,
713,USHAMART,137.0,,,,,DownTrend,,Yes,,,Yes,,,
714,UTIAMC,780.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
715,VAIBHAVGBL,342.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
716,VAKRANGEE,30.0,,,,,DownTrend,Yes,,,,,,,
717,VALIANTORG,662.0,,,,,UpTrend,,,,,,Yes,,
718,VARROC,290.0,,,,,DownTrend,,,,,,Yes,,
719,VBL,1309.0,,,,,UpTrend,Yes,,,,,Yes,,
720,VEDL,314.0,,,,,UpTrend,Yes,,,,,Yes,,
721,VENKEYS,1829.0,,,,,DownTrend,,,,,,Yes,,
722,VESUVIUS,1734.0,,,,,DownTrend,Yes,,,,,Yes,,
723,VGUARD,249.0,,,,,DownTrend,,,,,,Yes,,
724,VIDHIING,368.0,,,,,DownTrend,,,,,,,,
725,VIJAYA,453.0,,,,,DownTrend,Yes,,,,,,,
726,VINATIORGA,2097.0,,,,,DownTrend,Yes,,,,,Yes,,
727,VIPIND,709.0,,,,,DownTrend,,,,,,,,
728,VMART,2796.0,,,,,UpTrend,,,,,,Yes,,
729,VOLTAMP,2624.0,,,,,DownTrend,Yes,,,,,,,
730,VOLTAS,851.0,,,,,DownTrend,Yes,,,,,Yes,,
731,VRLLOG,562.0,,,,,DownTrend,Yes,,,,,Yes,,
732,VSTIND,3472.0,,,,,DownTrend,Yes,,,,,,,
733,VSTTILLERS,2347.0,,,,,DownTrend,,,,,,,,
734,VTL,350.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
735,WABAG,335.0,,,,,DownTrend,Yes,,,,,Yes,,
736,WELCORP,247.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
737,WELENT,165.0,,,,,DownTrend,Yes,,,,,Yes,,
738,WELSPUNIND,78.0,,,,,DownTrend,Yes,,,,,,,
739,WESTLIFE,784.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
740,WHIRLPOOL,1525.0,,,,,DownTrend,,,,,,Yes,,
741,WIPRO,411.0,,,,,DownTrend,Yes,,,,,Yes,,
742,WOCKPHARMA,228.0,,,,,DownTrend,Yes,,,,,Yes,,
743,WSTCSTPAPR,582.0,,,,,DownTrend,Yes,,,,,,,
744,YESBANK,17.0,,,,,DownTrend,,Yes,21,Yes,,,,
745,ZEEL,264.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
746,ZENSARTECH,233.0,,,,,UpTrend,Yes,,,,,Yes,,
747,ZFCVINDIA,9529.0,,,,,DownTrend,,,,Yes,Yes,,,
748,ZOMATO,64.0,,,,,DownTrend,Yes,,,,,,,
749,ZYDUSLIFE,410.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
750,ZYDUSWELL,1614.0,,,,,DownTrend,,,,,,Yes,,
